Timestamp,Fecha,Hora,Sucursal,Idioma,Caja(1-5),Entrega(1-5),Calidad(1-5),Limpieza(1-5),NPS(0-10),Comentarios,FotosURLs,FotosIDs,FolderURL,FolderID,ClienteNick,Week,Month,Year,ID,Estatus,Reviso
10/26/2025 14:19:41,2025-10-26,14:19,Lynwood,es,5,5,5,5,10,,,,https://drive.google.com/drive/folders/1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,Joe,44,10,2025,b1205e5b-1404-49d7-b22d-770d4183b45d,cerrado,Admin
10/26/2025 14:21:47,2025-10-26,14:21,Lynwood,es,5,5,5,5,10,Very polite and professional fresh food always,,,https://drive.google.com/drive/folders/1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,Steve Santiago,44,10,2025,625b9c05-c041-4988-8bcc-2e65f69dd96a,cerrado,Admin
10/26/2025 14:26:52,2025-10-26,14:26,Lynwood,es,5,5,5,5,10,No,,,https://drive.google.com/drive/folders/1uz5Jg2MsFiav5fdFFgal09c42TtcH42j,1uz5Jg2MsFiav5fdFFgal09c42TtcH42j,David,44,10,2025,adadcb48-0fac-46f3-b87d-cc7ef572da86,cerrado,Admin
10/26/2025 14:40:01,2025-10-26,14:40,Lynwood,es,5,5,5,5,10,Las tortas están bien ricas,,,https://drive.google.com/drive/folders/1Q5vHEGvvzKNYUReNMfpRJC5l-1wLCc2K,1Q5vHEGvvzKNYUReNMfpRJC5l-1wLCc2K,,44,10,2025,d89ae30d-d09b-415a-a360-282a0bc29569,cerrado,Admin
10/26/2025 14:41:28,2025-10-26,14:41,Lynwood,es,5,5,5,5,10,,,,https://drive.google.com/drive/folders/1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,Martha,44,10,2025,8d8e341c-69e2-4860-b62b-3abd416fb039,cerrado,Admin
10/26/2025 14:41:30,2025-10-26,14:41,Lynwood,es,5,5,5,5,10,Nos gusta la comida y es barato,,,https://drive.google.com/drive/folders/1BghPao-eN_1NSQ2PdvlKTWmEFkwZc8T2,1BghPao-eN_1NSQ2PdvlKTWmEFkwZc8T2,David,44,10,2025,ff292311-0e89-4075-8994-0c82447bbd37,cerrado,Admin
10/26/2025 14:42:03,2025-10-26,14:42,Lynwood,es,5,5,5,5,9,,,,https://drive.google.com/drive/folders/1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,,44,10,2025,1f536b94-54e5-4b13-a893-d9cb505b4de1,cerrado,Admin
10/26/2025 14:43:26,2025-10-26,14:43,Lynwood,es,5,5,5,5,10,,,,https://drive.google.com/drive/folders/1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,Loren s,44,10,2025,98b1e9b8-f143-4d91-a34a-f9a2efa6ca56,cerrado,Admin
10/26/2025 14:43:53,2025-10-26,14:43,Lynwood,es,5,5,5,5,10,,,,https://drive.google.com/drive/folders/1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,,44,10,2025,dd45cd89-ed4d-4dca-afb8-345bf85b4186,cerrado,Admin
10/26/2025 14:53:28,2025-10-26,14:53,Lynwood,es,5,5,5,5,10,,,,https://drive.google.com/drive/folders/1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,,44,10,2025,010037a1-9204-4393-b258-1e56edce0eed,cerrado,Admin
10/26/2025 14:55:20,2025-10-26,14:55,Lynwood,es,5,5,5,5,10,A mi me atendio una señorita llamada Heidy muy amable y muy sonriente regresare pronto gracias Heidy por ser tan amable,,,https://drive.google.com/drive/folders/1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,,44,10,2025,8a6b6a6c-400d-41b5-adcd-7e226cd3d093,cerrado,Admin
10/26/2025 15:00:22,2025-10-26,15:00,Lynwood,en,5,5,5,5,10,,,,https://drive.google.com/drive/folders/1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,Nickolas,44,10,2025,9bc8730b-c895-49e9-b1da-03ca15285b88,cerrado,Admin
10/26/2025 15:04:57,2025-10-26,15:04,Lynwood,es,5,5,5,5,10,,,,https://drive.google.com/drive/folders/1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,,44,10,2025,e87781c1-1adb-4610-b9c0-98e18875b2bd,cerrado,Admin
10/26/2025 15:12:05,2025-10-26,15:12,Lynwood,es,5,5,5,5,10,Todo good,,,https://drive.google.com/drive/folders/1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,Toro,44,10,2025,dfb658d3-6503-4276-aa44-ef6c99635722,cerrado,Admin
10/26/2025 15:13:31,2025-10-26,15:13,Lynwood,es,5,5,5,5,10,Muy bueno Todo!!,,,https://drive.google.com/drive/folders/1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,Gaby,44,10,2025,2ea09fda-f116-42a7-a00e-db7b1b9ce137,cerrado,Admin
10/26/2025 15:31:08,2025-10-26,15:31,Lynwood,es,5,5,5,5,10,,,,https://drive.google.com/drive/folders/1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,Carolina,44,10,2025,ca60a020-77fb-483d-8b20-a7d8f828fc35,cerrado,Admin
10/26/2025 15:34:39,2025-10-26,15:34,Lynwood,es,5,5,5,5,10,,,,https://drive.google.com/drive/folders/1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,Victor morales,44,10,2025,e647b553-bc2d-4e37-954f-4c5779944dcf,cerrado,Admin
10/26/2025 16:04:41,2025-10-26,16:04,Lynwood,es,5,5,5,5,10,,,,https://drive.google.com/drive/folders/1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,,44,10,2025,19aef4e1-cf42-42eb-b720-89b9048fb17b,cerrado,Admin
