Store,Date,DayOfWeek,FirstHour,FirstHourSales,LastHour,LastHourSales
Tacos Gavilan Lynwood,2025-01-10,Viernes,12:00 AM,1019.29,11:00 PM,1018.92
Tacos Gavilan Norwalk,2025-01-10,Viernes,12:00 AM,683.07,11:00 PM,1183.83
Tacos Gavilan Slauson,2025-01-10,Viernes,12:00 AM,681.90,11:00 PM,761.54
Tacos Gavilan Hollywood,2025-01-10,Viernes,12:00 AM,388.33,11:00 PM,483.97
Tacos Gavilan LA Broadway,2025-01-10,Viernes,12:00 AM,774.80,11:00 PM,660.18
Tacos Gavilan West Covina,2025-01-11,Sábado,12:00 AM,608.70,11:00 PM,952.51
Tacos Gavilan Santa Ana,2025-01-11,Sábado,12:00 AM,539.70,11:00 PM,894.88
Tacos Gavilan La Puente,2025-01-11,Sábado,12:00 AM,424.38,11:00 PM,454.44
Tacos Gavilan Azusa,2025-01-11,Sábado,12:00 AM,307.37,11:00 PM,201.89
Tacos Gavilan Rialto,2025-01-11,Sábado,12:00 AM,524.53,11:00 PM,728.70
Tacos Gavilan LA Central,2025-01-11,Sábado,12:00 AM,738.49,11:00 PM,1241.82
Tacos Gavilan South Gate,2025-01-11,Sábado,12:00 AM,430.99,11:00 PM,475.12
Tacos Gavilan Bell,2025-01-11,Sábado,12:00 AM,180.80,11:00 PM,240.89
Tacos Gavilan Downey,2025-01-11,Sábado,12:00 AM,595.54,11:00 PM,555.23
Tacos Gavilan Huntington Park,2025-01-11,Sábado,12:00 AM,316.47,11:00 PM,557.27
Tacos Gavilan Lynwood,2025-01-11,Sábado,12:00 AM,987.78,11:00 PM,1268.21
Tacos Gavilan Norwalk,2025-01-11,Sábado,12:00 AM,694.96,11:00 PM,733.56
Tacos Gavilan Slauson,2025-01-11,Sábado,12:00 AM,672.92,11:00 PM,660.39
Tacos Gavilan Hollywood,2025-01-11,Sábado,12:00 AM,577.30,11:00 PM,502.41
Tacos Gavilan LA Broadway,2025-01-11,Sábado,12:00 AM,460.44,11:00 PM,848.50
Tacos Gavilan West Covina,2025-01-12,Domingo,12:00 AM,274.96,11:00 PM,389.21
Tacos Gavilan Santa Ana,2025-01-12,Domingo,10:00 AM,647.56,11:00 PM,274.72
Tacos Gavilan La Puente,2025-01-12,Domingo,9:00 AM,15.06,11:00 PM,168.68
Tacos Gavilan Azusa,2025-01-12,Domingo,10:00 AM,197.93,11:00 PM,126.11
Tacos Gavilan Rialto,2025-01-12,Domingo,12:00 AM,342.38,11:00 PM,457.90
Tacos Gavilan LA Central,2025-01-12,Domingo,12:00 AM,743.96,11:00 PM,666.22
Tacos Gavilan South Gate,2025-01-12,Domingo,9:00 AM,1.15,11:00 PM,347.90
Tacos Gavilan Bell,2025-01-12,Domingo,10:00 AM,151.70,11:00 PM,125.11
Tacos Gavilan Downey,2025-01-12,Domingo,9:00 AM,280.96,11:00 PM,245.36
Tacos Gavilan Huntington Park,2025-01-12,Domingo,9:00 AM,70.55,11:00 PM,260.40
Tacos Gavilan Lynwood,2025-01-12,Domingo,12:00 AM,527.12,11:00 PM,666.40
Tacos Gavilan Norwalk,2025-01-12,Domingo,12:00 AM,119.25,11:00 PM,684.59
Tacos Gavilan Slauson,2025-01-12,Domingo,12:00 AM,291.35,11:00 PM,468.15
Tacos Gavilan Hollywood,2025-01-12,Domingo,8:00 AM,10.99,11:00 PM,301.66
Tacos Gavilan LA Broadway,2025-01-12,Domingo,12:00 AM,674.58,11:00 PM,535.31
Tacos Gavilan West Covina,2025-01-13,Lunes,12:00 AM,355.71,11:00 PM,255.46
Tacos Gavilan Santa Ana,2025-01-13,Lunes,10:00 AM,495.33,11:00 PM,287.22
Tacos Gavilan La Puente,2025-01-13,Lunes,9:00 AM,57.77,11:00 PM,113.07
Tacos Gavilan Azusa,2025-01-13,Lunes,9:00 AM,17.18,11:00 PM,107.77
Tacos Gavilan Rialto,2025-01-13,Lunes,9:00 AM,135.95,11:00 PM,274.43
Tacos Gavilan LA Central,2025-01-13,Lunes,12:00 AM,795.61,11:00 PM,724.31
Tacos Gavilan South Gate,2025-01-13,Lunes,9:00 AM,63.68,11:00 PM,493.29
Tacos Gavilan Bell,2025-01-13,Lunes,10:00 AM,326.21,11:00 PM,177.96
Tacos Gavilan Downey,2025-01-13,Lunes,9:00 AM,190.59,11:00 PM,262.82
Tacos Gavilan Huntington Park,2025-01-13,Lunes,9:00 AM,11.88,11:00 PM,146.77
Tacos Gavilan Lynwood,2025-01-13,Lunes,12:00 AM,683.54,11:00 PM,786.24
Tacos Gavilan Norwalk,2025-01-13,Lunes,12:00 AM,369.29,11:00 PM,314.69
Tacos Gavilan Slauson,2025-01-13,Lunes,12:00 AM,363.96,11:00 PM,552.76
Tacos Gavilan Hollywood,2025-01-13,Lunes,9:00 AM,313.16,11:00 PM,398.54
Tacos Gavilan LA Broadway,2025-01-13,Lunes,12:00 AM,352.64,11:00 PM,435.54
Tacos Gavilan West Covina,2025-01-14,Martes,12:00 AM,258.14,11:00 PM,332.07
Tacos Gavilan Santa Ana,2025-01-14,Martes,10:00 AM,463.28,11:00 PM,372.24
Tacos Gavilan La Puente,2025-01-14,Martes,9:00 AM,99.36,11:00 PM,238.80
Tacos Gavilan Azusa,2025-01-14,Martes,9:00 AM,75.16,11:00 PM,224.13
Tacos Gavilan Rialto,2025-01-14,Martes,9:00 AM,362.56,11:00 PM,363.34
Tacos Gavilan LA Central,2025-01-14,Martes,12:00 AM,873.97,11:00 PM,1002.56
Tacos Gavilan South Gate,2025-01-14,Martes,9:00 AM,54.97,11:00 PM,385.73
Tacos Gavilan Bell,2025-01-14,Martes,10:00 AM,490.02,11:00 PM,177.71
Tacos Gavilan Downey,2025-01-14,Martes,8:00 AM,3.78,11:00 PM,225.22
Tacos Gavilan Huntington Park,2025-01-14,Martes,9:00 AM,14.76,11:00 PM,242.21
Tacos Gavilan Lynwood,2025-01-14,Martes,12:00 AM,506.79,11:00 PM,770.41
