id,user_id,type,title,message,link,is_read,created_at,reference_id,reference_type,read
229,45,info,🛡️ Nueva Auditoría de Supervisor,Auditoría realizada por Supervisor.,/inspecciones?id=121,false,2026-01-05 01:33:04.159031+00,121,supervisor_inspections,false
230,46,info,🛡️ Nueva Auditoría de Supervisor,Auditoría realizada por Supervisor.,/inspecciones?id=121,false,2026-01-05 01:33:04.159031+00,121,supervisor_inspections,false
231,43,info,🛡️ Nueva Auditoría de Supervisor,Auditoría realizada por Supervisor.,/inspecciones?id=121,false,2026-01-05 01:33:04.159031+00,121,supervisor_inspections,false
233,57,info,🛡️ Nueva Auditoría de Supervisor,Auditoría realizada por Supervisor.,/inspecciones?id=122,false,2026-01-05 01:33:04.159031+00,122,supervisor_inspections,false
234,44,info,🛡️ Nueva Auditoría de Supervisor,Auditoría realizada por Supervisor.,/inspecciones?id=122,false,2026-01-05 01:33:04.159031+00,122,supervisor_inspections,false
235,45,info,🛡️ Nueva Auditoría de Supervisor,Auditoría realizada por Supervisor.,/inspecciones?id=122,false,2026-01-05 01:33:04.159031+00,122,supervisor_inspections,false
236,46,info,🛡️ Nueva Auditoría de Supervisor,Auditoría realizada por Supervisor.,/inspecciones?id=122,false,2026-01-05 01:33:04.159031+00,122,supervisor_inspections,false
237,43,info,🛡️ Nueva Auditoría de Supervisor,Auditoría realizada por Supervisor.,/inspecciones?id=122,false,2026-01-05 01:33:04.159031+00,122,supervisor_inspections,false
239,57,info,🛡️ Nueva Auditoría de Supervisor,Auditoría realizada por Supervisor.,/inspecciones?id=123,false,2026-01-05 01:33:04.159031+00,123,supervisor_inspections,false
240,44,info,🛡️ Nueva Auditoría de Supervisor,Auditoría realizada por Supervisor.,/inspecciones?id=123,false,2026-01-05 01:33:04.159031+00,123,supervisor_inspections,false
241,45,info,🛡️ Nueva Auditoría de Supervisor,Auditoría realizada por Supervisor.,/inspecciones?id=123,false,2026-01-05 01:33:04.159031+00,123,supervisor_inspections,false
242,46,info,🛡️ Nueva Auditoría de Supervisor,Auditoría realizada por Supervisor.,/inspecciones?id=123,false,2026-01-05 01:33:04.159031+00,123,supervisor_inspections,false
243,43,info,🛡️ Nueva Auditoría de Supervisor,Auditoría realizada por Supervisor.,/inspecciones?id=123,false,2026-01-05 01:33:04.159031+00,123,supervisor_inspections,false
245,57,info,🛡️ Nueva Auditoría de Supervisor,Auditoría realizada por Supervisor.,/inspecciones?id=124,false,2026-01-05 01:33:04.159031+00,124,supervisor_inspections,false
246,44,info,🛡️ Nueva Auditoría de Supervisor,Auditoría realizada por Supervisor.,/inspecciones?id=124,false,2026-01-05 01:33:04.159031+00,124,supervisor_inspections,false
247,45,info,🛡️ Nueva Auditoría de Supervisor,Auditoría realizada por Supervisor.,/inspecciones?id=124,false,2026-01-05 01:33:04.159031+00,124,supervisor_inspections,false
